id,name,email,password,role,email_verified_at,created_at,updated_at
1,David J. Malan,david.j..malan@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
2,Brian Yu,brian.yu@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
3,Alyssa Goodman,alyssa.goodman@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
4,Thomas Barnett,thomas.barnett@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
5,John Johnson,john.johnson@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
6,Peter Der Manuelian,peter.der.manuelian@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
7,Hjalti SnÃ¦r Ã†gisson,hjalti.snr.gisson@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
8,Beth Rogers,beth.rogers@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
9,Dr Sarah Steele,dr.sarah.steele@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
10,Alison Goldsworthy,alison.goldsworthy@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
11,Laura Osborne,laura.osborne@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
12,Alexandra Chesterfield,alexandra.chesterfield@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
13,Emily Frazier-Rath,emily.frazierrath@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
14,Lauren Duncan,lauren.duncan@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
15,Gerlo Borghuis MSc,gerlo.borghuis@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
16,Petra Hellegers,petra.hellegers@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
17,Harm Boesveld,harm.boesveld@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
18,Dr. Ir. Henk Ritzema,ir..henk.ritzema@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
19,Alex Bolding,alex.bolding@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
20,Dr. Ir. Klaas Metselaar,ir..klaas.metselaar@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
21,Dr. Ir. Jos van Dam,ir..jos.van.dam@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
22,Dr. Ir. Lodewijk Stuyt,ir..lodewijk.stuyt@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
23,Jianning Dong,jianning.dong@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
24,Pavol Bauer,pavol.bauer@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
25,Hassan HosseinNia,hassan.hosseinnia@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
26,Marta MarrÃ³n-Romera,marta.marrnromera@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
27,Felipe Espinosa-Zapata,felipe.espinosazapata@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
28,Cristina Losada-GutiÃ©rrez,cristina.losadagutirrez@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
29,David Fuentes-JimÃ©nez,david.fuentesjimnez@coursify.com,password,instructor,2026-05-15 14:00:00,2026-05-15 14:00:00,2026-05-15 14:00:00
